TCGplayer Id,Product Line,Set Name,Product Name,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,My totals,My Store Price,Photo URL,Sold For ,Listed Where,Sold When,Where is it?,Sold For,Profit
7817862,Magic,Outlaws of Thunder Junction: Breaking News,Grindstone,62,M,Near Mint,3.2,,,,,2,3.2,6.4,3.2,https://user-content.cardcastle.co/uploads/card_user/scanned_image/c9439cef-420a-4453-a9e9-d8ece1e7543d.jpg,$2.75,In store,8/15/2026,81326,,1.15
4506502,Magic,Double Masters,Hammer of Nazahn,260,R,Near Mint,15.52,,,,,1,15.52,15.52,15.52,https://user-content.cardcastle.co/uploads/card_user/scanned_image/cd908a75-31d8-4689-b836-fa5f52ead471.jpg,$15.00,In store,8/17/2026,81326,,7.24
7246726,Magic,Commander Masters,Pearl Medallion,401,R,Near Mint,5.73,,,,,1,5.73,5.73,5.73,https://user-content.cardcastle.co/uploads/card_user/scanned_image/21add399-04d6-4aaa-9f94-7bdf91e7eab6.jpg,$5.99,In store,8/23/2026,81326,,3.125
7927999,Magic,Modern Horizons 3,Jet Medallion,292,R,Near Mint,11.79,,,,,1,11.79,11.79,11.79,https://user-content.cardcastle.co/uploads/card_user/scanned_image/43aa0bd4-1c4e-48a6-83a7-fb5bde501bf7.jpg,$11.85,In store,8/23/2026,81326,,5.955
7246851,Magic,Commander Masters,Jet Medallion,395,R,Near Mint,12.18,,,,,1,12.18,12.18,12.18,https://user-content.cardcastle.co/uploads/card_user/scanned_image/a55119c7-a09e-4dec-80b1-d1ecd7099b44.jpg,$11.85,In store,8/23/2026,81326,,5.76
7821368,Magic,Outlaws of Thunder Junction: The Big Score,Torpor Orb,27,M,Near Mint,4.95,,,,,1,4.95,4.95,4.95,https://user-content.cardcastle.co/uploads/card_user/scanned_image/da73f14e-f5e5-40c2-af57-c4063bb96ca7.jpg,,,,81326,,
8887,Magic,Mirrodin,Chalice of the Void,150,R,Near Mint,15.7,,,,,1,15.7,15.7,15.7,https://user-content.cardcastle.co/uploads/card_user/scanned_image/5e039b99-c778-49d8-ac16-c66d9998ba35.jpg,,,,81326,,
8980192,Magic,Avatar: The Last Airbender,"Bumi, Unleashed",211,M,Near Mint,4.48,,,,,3,4.48,13.44,4.48,https://user-content.cardcastle.co/uploads/card_user/scanned_image/c7fb77fc-ff8e-45fa-959b-d41a5f89b385.jpg,,,,81326,,
6990386,Magic,Commander: Phyrexia: All Will Be One,"Vishgraz, the Doomhive",4,M,Near Mint,1.7,,,,,1,1.7,1.7,1.7,https://user-content.cardcastle.co/uploads/card_user/scanned_image/f75be746-48c1-419a-955e-1d01876fe906.jpg,,,,81326,,
8906590,Magic,Marvel's Spider-Man,Eddie Brock (0224) (Borderless),224,M,Near Mint,4.5,,,,,1,4.5,4.5,4.5,https://user-content.cardcastle.co/uploads/card_user/scanned_image/0105dd34-0b46-42d5-b2f1-356092140dcd.jpg,,,,81326,,
7490389,Magic,Universes Beyond: Fallout,"Caesar, Legion's Emperor",1,M,Near Mint Foil,8.26,,,,,1,8.26,8.26,8.26,https://user-content.cardcastle.co/uploads/card_user/scanned_image/17cf605e-e1d2-49c8-bfb1-f58e4a16860e.jpg,,,,81326,,
7258817,Magic,Commander Masters,"Morophon, the Boundless (Borderless)",669,M,Near Mint,10.84,,,,,1,10.84,10.84,10.84,https://user-content.cardcastle.co/uploads/card_user/scanned_image/76eb6fdc-68ac-4960-91bf-18d69fff00db.jpg,,,,81326,,
7790012,Magic,Modern Horizons 3,Psychic Frog,199,R,Near Mint,5.68,,,,,1,5.68,5.68,5.68,https://user-content.cardcastle.co/uploads/card_user/scanned_image/2b2873ea-b255-4af7-b9a7-7809646c910b.jpg,,,,81326,,
8914887,Magic,Marvel's Spider-Man,Cosmic Spider-Man,127,M,Near Mint,3.99,,,,,1,3.99,3.99,3.99,https://user-content.cardcastle.co/uploads/card_user/scanned_image/d434e9b4-a2e3-429d-abde-e8ccccd9d3e1.jpg,,,,81326,,
7280509,Magic,Commander Masters,Teysa Karlov,359,R,Near Mint,2.63,,,,,2,2.63,5.26,2.63,https://user-content.cardcastle.co/uploads/card_user/scanned_image/79ecb151-2a77-4895-8a48-4529cf32cb2c.jpg,,,,81326,,
8618368,Magic,Tarkir: Dragonstorm,"Teval, Arbiter of Virtue (Showcase)",319,M,Near Mint,2.32,,,,,1,2.32,2.32,2.32,https://user-content.cardcastle.co/uploads/card_user/scanned_image/98ae2c99-9710-45cc-b061-54d910c8b702.jpg,,,,81326,,
9080970,Magic,Lorwyn Eclipsed,Wistfulness,252,M,Near Mint,6.87,,,,,1,6.87,6.87,6.87,https://user-content.cardcastle.co/uploads/card_user/scanned_image/e580a5c3-16c4-4bf9-9712-26fcecaa5871.jpg,,,,81326,,
4275635,Magic,The List Reprints,Rhys the Redeemed,SHM-237,R,Near Mint,5.03,,,,,1,5.03,5.03,5.03,https://user-content.cardcastle.co/uploads/card_user/scanned_image/8e33e5dd-b605-48c5-87a1-ece484544653.jpg,,,,81326,,
7998360,Magic,Universes Beyond: Assassin's Creed,Bureau Headmaster,296,U,Near Mint,5.67,,,,,2,5.67,11.34,5.67,https://user-content.cardcastle.co/uploads/card_user/scanned_image/059e2fae-ac18-4f65-8f42-1dd6b2067ac6.jpg,,,,81326,,
7006777,Magic,March of the Machine,Yargle and Multani,256,R,Near Mint,2.88,,,,,1,2.88,2.88,2.88,https://user-content.cardcastle.co/uploads/card_user/scanned_image/8e62f38b-b0cd-49f4-907e-5a130688d01b.jpg,,,,81326,,
7267885,Magic,Commander Masters,"Gisela, Blade of Goldnight",338,R,Near Mint,5.06,,,,,2,5.06,10.12,5.06,https://user-content.cardcastle.co/uploads/card_user/scanned_image/84e2c22d-86c8-4f32-baba-c76adb4aac63.jpg,,,,81326,,
3608864,Magic,Masters 25,Conflux,202,R,Near Mint,2.48,,,,,1,2.48,2.48,2.48,https://user-content.cardcastle.co/uploads/card_user/scanned_image/b4807fbd-6774-4d24-af83-8bf7e2dc9001.jpg,,,,81326,,
9373562,Magic,Marvel Universe Eternal-Legal,"Monica, the Marvel - Aurelia, the Warleader (Borderless)",86,M,Near Mint,3.01,,,,,1,3.01,3.01,3.01,https://user-content.cardcastle.co/uploads/card_user/scanned_image/183741a7-8fff-43d5-bada-c5d3b1b3ec99.jpg,,,,81326,,
8580955,Magic,FINAL FANTASY,"Cloud, Planet's Champion",552,M,Near Mint Foil,1.84,,,,,1,1.84,1.84,1.84,https://user-content.cardcastle.co/uploads/card_user/scanned_image/269475a6-038e-4f40-8561-61ab3404fa57.jpg,,,,81326,,
9306763,Magic,Commander: Marvel Super Heroes,The Fantastic Four,741,M,Near Mint Foil,$29.92,,,,,1,,$29.92,,https://user-content.cardcastle.co/uploads/card_user/scanned_image/ed5cbf14-3e12-4652-8df5-e775a13b1333.jpg,,,,81326,,
9335772,Magic,Commander: Marvel Super Heroes,"Karolina Dean, Runaway",694,U,Near Mint Foil,13.15,,,,,1,13.15,13.15,13.15,https://user-content.cardcastle.co/uploads/card_user/scanned_image/7171bd54-fafe-4701-9283-a128db061b18.jpg,,,,81326,,
8701410,Magic,FINAL FANTASY: Through the Ages,"Sephiroth, the Savior - Atraxa, Grand Unifier (Showcase)",49,M,Near Mint,27.01,,,,,1,27.01,27.01,27.01,https://user-content.cardcastle.co/uploads/card_user/scanned_image/74edda39-bfe2-4011-be29-bf20c3701ce2.jpg,,,,81326,,
,Magic,Multiverse Legends,"Aurelia, the Warleader",100,M,Near Mint Foil,$28.47,,,,,1,,$28.47,,https://user-content.cardcastle.co/uploads/card_user/scanned_image/605926f4-ea59-472c-978c-4a92598e6d5b.jpg,,,,81326,,
8286680,Magic,Foundations,"Niv-Mizzet, Visionary",123,M,Near Mint,6.38,,,,,1,6.38,6.38,6.38,https://user-content.cardcastle.co/uploads/card_user/scanned_image/6cf37389-9efa-4306-9ac5-6abb5baa78c7.jpg,,,,81326,,
8864735,Magic,Marvel's Spider-Man,Peter Parker (0208) (Borderless),208,M,Near Mint Foil,7.38,,,,,1,7.38,7.38,7.38,https://user-content.cardcastle.co/uploads/card_user/scanned_image/1a2cc3a8-e959-4132-9d6a-7ec4d4f5ba1d.jpg,,,,81326,,
